Trade Date,Settle
1957-11-18,1.890106
1957-11-19,1.890223
1957-11-21,1.890223
1957-11-22,1.890457
1957-11-23,1.890574
1957-11-25,1.890574
1957-11-26,1.890574
1957-11-27,1.890574
1957-11-28,1.890457
1957-11-29,1.890502
1957-11-30,1.890475
1957-12-02,1.890709
1957-12-03,1.89043
1957-12-04,1.89043
1957-12-05,1.89043
1957-12-06,1.89043
1957-12-07,1.890313
1957-12-09,1.890313
1957-12-10,1.890268
1957-12-11,1.890385
1957-12-12,1.890547
1957-12-13,1.890709
1957-12-14,1.890592
1957-12-16,1.890592
1957-12-17,1.890943
1957-12-18,1.890592
1957-12-19,1.890709
1957-12-20,1.890709
1957-12-21,1.890709
1957-12-23,1.890826
1957-12-27,1.89106
1957-12-28,1.891177
1957-12-30,1.89106
1957-12-31,1.890943
1958-01-02,1.890709
1958-01-03,1.890592
1958-01-04,1.890709
1958-01-06,1.890592
1958-01-07,1.890475
1958-01-08,1.890475
1958-01-09,1.890358
1958-01-10,1.890358
1958-01-11,1.89024
1958-01-13,1.890123
1958-01-14,1.890475
1958-01-15,1.890592
1958-01-16,1.89061
1958-01-17,1.89061
1958-01-18,1.89061
1958-01-20,1.890727
1958-01-21,1.890727
1958-01-22,1.89061
1958-01-23,1.89061
1958-01-24,1.890655
1958-01-25,1.890772
1958-01-27,1.890772
1958-01-28,1.890655
1958-01-29,1.890537
1958-01-30,1.890537
1958-01-31,1.890537
1958-02-01,1.890582
1958-02-03,1.890582
1958-02-04,1.890465
1958-02-05,1.890537
1958-02-06,1.890375
1958-02-07,1.890492
1958-02-08,1.890375
1958-02-10,1.890375
1958-02-11,1.890492
1958-02-12,1.890492
1958-02-13,1.890492
1958-02-14,1.890375
1958-02-15,1.890258
1958-02-17,1.890492
1958-02-18,1.890258
1958-02-19,1.890375
1958-02-20,1.890375
1958-02-21,1.890375
1958-02-22,1.890492
1958-02-24,1.89061
1958-02-25,1.890727
1958-02-26,1.89061
1958-02-27,1.89061
1958-02-28,1.89061
1958-03-01,1.890492
1958-03-03,1.890492
1958-03-04,1.890492
1958-03-05,1.890492
1958-03-06,1.890492
1958-03-07,1.890492
1958-03-08,1.890402
1958-03-10,1.890313
1958-03-11,1.890313
1958-03-12,1.890268
1958-03-13,1.890223
1958-03-14,1.890223
1958-03-15,1.89034
1958-03-17,1.89043
1958-03-18,1.89052
1958-03-19,1.890682
1958-03-20,1.890682
1958-03-21,1.891033
1958-03-22,1.891033
1958-03-24,1.891267
1958-03-25,1.890925
1958-03-26,1.890745
1958-03-27,1.890538
1958-03-28,1.890331
1958-03-29,1.890214
1958-03-31,1.88998
1958-04-01,1.890097
1958-04-02,1.89007
1958-04-03,1.890187
1958-04-08,1.890421
1958-04-09,1.890493
1958-04-10,1.890493
1958-04-11,1.890376
1958-04-12,1.890241
1958-04-14,1.890475
1958-04-15,1.890385
1958-04-16,1.890412
1958-04-17,1.890322
1958-04-18,1.890232
1958-04-19,1.890214
1958-04-21,1.890448
1958-04-22,1.890205
1958-04-23,1.889638
1958-04-24,1.889386
1958-04-25,1.889296
1958-04-26,1.888845
1958-04-28,1.887945
1958-04-29,1.886145
1958-04-30,1.887396
1958-05-02,1.887162
1958-05-03,1.886928
1958-05-05,1.887045
1958-05-06,1.887162
1958-05-07,1.88717
1958-05-08,1.88708
1958-05-09,1.886964
1958-05-10,1.88708
1958-05-12,1.88708
1958-05-13,1.886153
1958-05-14,1.886378
1958-05-16,1.884911
1958-05-17,1.884911
1958-05-19,1.885181
1958-05-20,1.885064
1958-05-21,1.885353
1958-05-22,1.886595
1958-05-23,1.885946
1958-05-27,1.885829
1958-05-28,1.885271
1958-05-29,1.885469
1958-05-30,1.885119
1958-05-31,1.884976
1958-06-02,1.885227
1958-06-03,1.885111
1958-06-04,1.885435
1958-06-06,1.88548
1958-06-07,1.885858
1958-06-09,1.886327
1958-06-10,1.886795
1958-06-11,1.88702
1958-06-12,1.88576
1958-06-13,1.885535
1958-06-14,1.885625
1958-06-16,1.885392
1958-06-18,1.885625
1958-06-19,1.885625
1958-06-20,1.88531
1958-06-21,1.884635
1958-06-23,1.884302
1958-06-24,1.884077
1958-06-25,1.884869
1958-06-26,1.884752
1958-06-27,1.884977
1958-06-28,1.885094
1958-06-30,1.884977
1958-07-01,1.88486
1958-07-02,1.88441
1958-07-03,1.884365
1958-07-04,1.884249
1958-07-05,1.884249
1958-07-07,1.884519
1958-07-08,1.884627
1958-07-09,1.885302
1958-07-10,1.885302
1958-07-11,1.885077
1958-07-12,1.884852
1958-07-14,1.884852
1958-07-15,1.884852
1958-07-16,1.885077
1958-07-17,1.885418
1958-07-18,1.885643
1958-07-19,1.884969
1958-07-21,1.884852
1958-07-22,1.884627
1958-07-23,1.884627
1958-07-24,1.884627
1958-07-25,1.884447
1958-07-26,1.884564
1958-07-28,1.884447
1958-07-29,1.884474
1958-07-30,1.884357
1958-07-31,1.884474
1958-08-01,1.884357
1958-08-02,1.88424
1958-08-04,1.884007
1958-08-05,1.884277
1958-08-06,1.884394
1958-08-07,1.884071
1958-08-08,1.883981
1958-08-09,1.884097
1958-08-11,1.884142
1958-08-12,1.884026
1958-08-13,1.884026
1958-08-14,1.884026
1958-08-15,1.884026
1958-08-16,1.884026
1958-08-18,1.884026
1958-08-19,1.884026
1958-08-20,1.884052
1958-08-21,1.883846
1958-08-22,1.883962
1958-08-23,1.884079
1958-08-25,1.884079
1958-08-26,1.88415
1958-08-27,1.884061
1958-08-28,1.884061
1958-08-29,1.884061
1958-08-30,1.883936
1958-09-01,1.884169
1958-09-02,1.884007
1958-09-03,1.884285
1958-09-04,1.884169
1958-09-05,1.884402
1958-09-06,1.884635
1958-09-08,1.884752
1958-09-09,1.884824
1958-09-10,1.88494
1958-09-11,1.885057
1958-09-12,1.885264
1958-09-13,1.885264
1958-09-15,1.885264
1958-09-16,1.885381
1958-09-17,1.885497
1958-09-18,1.885524
1958-09-19,1.885201
1958-09-20,1.885254
1958-09-22,1.885011
1958-09-23,1.884561
1958-09-24,1.884741
1958-09-25,1.884741
1958-09-26,1.884426
1958-09-27,1.884444
1958-09-29,1.884444
1958-09-30,1.883986
1958-10-01,1.884219
1958-10-02,1.884047
1958-10-03,1.88357
1958-10-04,1.88321
1958-10-06,1.883094
1958-10-07,1.882977
1958-10-08,1.883094
1958-10-09,1.883345
1958-10-10,1.883345
1958-10-11,1.883229
1958-10-13,1.88365
1958-10-14,1.8833
1958-10-15,1.8833
1958-10-16,1.883417
1958-10-17,1.883417
1958-10-18,1.883534
1958-10-20,1.883534
1958-10-21,1.883534
1958-10-22,1.883534
1958-10-23,1.883489
1958-10-24,1.883327
1958-10-25,1.883354
1958-10-27,1.883327
1958-10-28,1.88321
1958-10-29,1.8833
1958-10-30,1.883417
1958-10-31,1.883345
1958-11-01,1.883345
1958-11-03,1.882879
1958-11-04,1.882879
1958-11-05,1.882646
1958-11-06,1.882762
1958-11-07,1.882762
1958-11-08,1.882762
1958-11-10,1.882762
1958-11-11,1.882762
1958-11-12,1.882879
1958-11-13,1.883112
1958-11-14,1.883229
1958-11-17,1.88321
1958-11-18,1.88312
1958-11-20,1.882535
1958-11-21,1.883002
1958-11-22,1.882652
1958-11-24,1.882787
1958-11-25,1.882877
1958-11-26,1.88276
1958-11-27,1.882787
1958-11-28,1.882787
1958-11-29,1.88267
1958-12-01,1.88267
1958-12-02,1.88232
1958-12-03,1.882554
1958-12-04,1.882644
1958-12-05,1.88276
1958-12-06,1.882644
1958-12-08,1.88276
1958-12-09,1.882644
1958-12-10,1.88276
1958-12-11,1.88258
1958-12-12,1.882813
1958-12-13,1.882633
1958-12-15,1.882175
1958-12-16,1.882059
1958-12-17,1.881987
1958-12-18,1.881987
1958-12-19,1.881825
1958-12-20,1.881592
1958-12-22,1.882032
1958-12-23,1.881799
1958-12-24,1.881915
1958-12-29,1.880401
1958-12-30,1.884486
1958-12-31,1.883317
1959-01-02,1.884622
1959-01-03,1.885256
1959-01-05,1.88467
1959-01-06,1.883409
1959-01-07,1.882961
1959-01-08,1.883994
1959-01-09,1.884578
1959-01-10,1.884695
1959-01-12,1.885163
1959-01-13,1.884884
1959-01-14,1.884929
1959-01-15,1.884812
1959-01-16,1.884812
1959-01-19,1.88447
1959-01-20,1.884388
1959-01-21,1.884513
1959-01-22,1.884513
1959-01-23,1.884665
1959-01-24,1.884575
1959-01-26,1.884052
1959-01-27,1.883943
1959-01-28,1.88444
1959-01-29,1.884323
1959-01-30,1.884323
1959-01-31,1.884458
1959-02-02,1.884458
1959-02-03,1.884107
1959-02-04,1.884189
1959-02-05,1.884162
1959-02-06,1.884019
1959-02-07,1.883848
1959-02-09,1.883867
1959-02-10,1.884137
1959-02-11,1.884129
1959-02-12,1.884174
1959-02-13,1.884192
1959-02-14,1.883932
1959-02-16,1.8836
1959-02-17,1.883385
1959-02-18,1.88326
1959-02-19,1.883358
1959-02-20,1.883393
1959-02-23,1.883338
1959-02-24,1.883409
1959-02-25,1.8835
1959-02-26,1.883707
1959-02-27,1.88368
1959-02-28,1.883807
1959-03-02,1.883555
1959-03-03,1.883735
1959-03-04,1.883323
1959-03-05,1.883206
1959-03-06,1.88345
1959-03-07,1.883307
1959-03-09,1.883505
1959-03-10,1.883067
1959-03-11,1.883149
1959-03-12,1.883249
1959-03-13,1.882486
1959-03-14,1.882476
1959-03-16,1.882286
1959-03-17,1.882427
1959-03-18,1.88247
1959-03-19,1.882353
1959-03-20,1.882191
1959-03-23,1.881921
1959-03-24,1.881559
1959-03-25,1.881551
1959-03-26,1.881174
1959-03-31,1.880806
1959-04-01,1.880584
1959-04-02,1.880666
1959-04-03,1.880388
1959-04-04,1.880039
1959-04-06,1.880031
1959-04-07,1.879836
1959-04-08,1.87963
1959-04-09,1.879532
1959-04-10,1.879862
1959-04-11,1.879836
1959-04-13,1.879926
1959-04-14,1.879757
1959-04-15,1.879891
1959-04-16,1.880034
1959-04-17,1.880061
1959-04-20,1.88041
1959-04-21,1.880616
1959-04-22,1.880679
1959-04-23,1.880769
1959-04-24,1.880716
1959-04-25,1.880806
1959-04-27,1.880806
1959-04-28,1.880968
1959-04-29,1.881103
1959-04-30,1.881193
1959-05-02,1.881193
1959-05-04,1.881058
1959-05-05,1.881058
1959-05-06,1.880923
1959-05-08,1.880994
1959-05-09,1.880769
1959-05-11,1.880769
1959-05-12,1.880814
1959-05-13,1.880931
1959-05-14,1.881074
1959-05-15,1.881029
1959-05-19,1.881074
1959-05-20,1.880928
1959-05-21,1.880767
1959-05-22,1.881179
1959-05-23,1.881134
1959-05-25,1.881161
1959-05-26,1.881277
1959-05-27,1.881052
1959-05-29,1.88133
1959-05-30,1.880854
1959-06-01,1.880809
1959-06-02,1.8806
1959-06-03,1.8803
1959-06-04,1.880544
1959-06-05,1.880878
1959-06-06,1.88078
1959-06-08,1.880269
1959-06-09,1.880603
1959-06-10,1.880542
1959-06-11,1.880505
1959-06-12,1.880449
1959-06-13,1.88016
1959-06-15,1.880438
1959-06-16,1.88043
1959-06-18,1.880547
1959-06-19,1.880258
1959-06-22,1.880025
1959-06-23,1.879676
1959-06-24,1.879703
1959-06-25,1.879568
1959-06-26,1.87938
1959-06-27,1.879398
1959-06-29,1.879095
1959-06-30,1.87905
1959-07-01,1.878952
1959-07-02,1.878595
1959-07-03,1.878434
1959-07-04,1.878318
1959-07-06,1.878176
1959-07-07,1.877498
1959-07-08,1.877007
1959-07-09,1.876734
1959-07-10,1.87663
1959-07-11,1.876798
1959-07-13,1.876443
1959-07-14,1.875961
1959-07-15,1.87562
1959-07-16,1.875505
1959-07-17,1.875542
1959-07-20,1.875169
1959-07-21,1.874803
1959-07-22,1.875143
1959-07-23,1.87502
1959-07-24,1.874834
1959-07-25,1.874968
1959-07-27,1.874878
1959-07-28,1.874834
1959-07-29,1.875077
1959-07-30,1.875249
1959-07-31,1.87523
1959-08-01,1.8748
1959-08-03,1.8748
1959-08-04,1.874987
1959-08-05,1.874968
1959-08-06,1.874737
1959-08-07,1.874845
1959-08-08,1.87473
1959-08-10,1.874909
1959-08-11,1.875062
1959-08-12,1.874947
1959-08-13,1.874973
1959-08-14,1.874973
1959-08-17,1.875036
1959-08-18,1.874965
1959-08-19,1.875074
1959-08-20,1.874843
1959-08-21,1.874831
1959-08-22,1.874947
1959-08-24,1.874928
1959-08-25,1.874999
1959-08-26,1.8751
1959-08-27,1.875286
1959-08-28,1.875081
1959-08-29,1.875055
1959-08-31,1.87526
1959-09-01,1.875201
1959-09-02,1.875123
1959-09-03,1.875052
1959-09-04,1.875149
1959-09-05,1.87497
1959-09-07,1.875201
1959-09-08,1.874958
1959-09-09,1.875133
1959-09-10,1.875223
1959-09-11,1.875074
1959-09-12,1.875074
1959-09-14,1.875234
1959-09-15,1.87535
1959-09-16,1.875305
1959-09-17,1.875074
1959-09-18,1.875249
1959-09-21,1.875185
1959-09-22,1.874949
1959-09-23,1.875356
1959-09-24,1.875311
1959-09-25,1.875046
1959-09-26,1.874904
1959-09-28,1.874576
1959-09-29,1.875069
1959-09-30,1.875199
1959-10-01,1.875348
1959-10-02,1.87549
1959-10-03,1.875852
1959-10-05,1.875878
1959-10-06,1.875564
1959-10-07,1.87528
1959-10-08,1.875639
1959-10-09,1.875493
1959-10-10,1.875448
1959-10-12,1.87568
1959-10-13,1.875975
1959-10-14,1.876058
1959-10-15,1.876809
1959-10-16,1.876772
1959-10-19,1.877475
1959-10-20,1.877715
1959-10-21,1.877921
1959-10-22,1.877992
1959-10-23,1.878176
1959-10-24,1.878236
1959-10-26,1.878368
1959-10-27,1.878053
1959-10-28,1.878214
1959-10-29,1.878545
1959-10-30,1.879672
1959-10-31,1.880119
1959-11-02,1.879725
1959-11-03,1.879285
1959-11-04,1.880217
1959-11-05,1.880684
1959-11-06,1.880684
1959-11-07,1.880801
1959-11-09,1.881384
1959-11-10,1.881735
1959-11-11,1.881968
1959-11-12,1.882175
1959-11-13,1.882553
1959-11-14,1.882436
1959-11-16,1.883137
1959-11-17,1.882787
1959-11-19,1.882903
1959-11-20,1.883605
1959-11-23,1.883488
1959-11-24,1.883371
1959-11-25,1.883254
1959-11-26,1.883605
1959-11-27,1.883488
1959-11-28,1.883488
1959-11-30,1.883605
1959-12-01,1.883722
1959-12-02,1.884425
1959-12-03,1.885363
1959-12-04,1.886066
1959-12-05,1.885832
1959-12-07,1.885949
1959-12-08,1.885011
1959-12-09,1.885714
1959-12-10,1.885832
1959-12-11,1.885832
1959-12-12,1.885597
1959-12-14,1.885714
1959-12-15,1.885832
1959-12-16,1.885597
1959-12-17,1.885949
1959-12-18,1.885886
1959-12-21,1.88602
1959-12-22,1.886372
1959-12-23,1.886372
1959-12-24,1.886255
1959-12-28,1.88696
1959-12-29,1.88696
1959-12-30,1.88743
1959-12-31,1.8879
1960-01-02,1.888135
1960-01-04,1.888244
1960-01-05,1.888217
1960-01-06,1.88819
1960-01-07,1.88819
1960-01-08,1.888335
1960-01-09,1.888172
1960-01-11,1.888525
1960-01-12,1.888597
1960-01-13,1.888669
1960-01-14,1.888787
1960-01-15,1.889023
1960-01-18,1.889494
1960-01-19,1.88914
1960-01-20,1.88914
1960-01-21,1.889258
1960-01-22,1.889258
1960-01-23,1.889376
1960-01-25,1.889258
1960-01-26,1.889494
1960-01-27,1.889611
1960-01-28,1.889611
1960-01-29,1.889775
1960-01-30,1.889657
1960-02-01,1.889657
1960-02-02,1.889892
1960-02-03,1.889775
1960-02-04,1.889775
1960-02-05,1.89001
1960-02-06,1.889657
1960-02-08,1.889892
1960-02-09,1.889892
1960-02-10,1.889892
1960-02-11,1.889657
1960-02-12,1.889303
1960-02-13,1.88914
1960-02-15,1.889258
1960-02-16,1.889331
1960-02-17,1.889476
1960-02-18,1.889476
1960-02-19,1.88924
1960-02-22,1.888959
1960-02-23,1.888959
1960-02-24,1.888959
1960-02-25,1.889077
1960-02-26,1.888959
1960-02-27,1.888959
1960-02-29,1.888959
1960-03-01,1.888841
1960-03-02,1.888959
1960-03-03,1.888959
1960-03-04,1.888959
1960-03-05,1.888841
1960-03-07,1.888959
1960-03-08,1.888959
1960-03-09,1.888841
1960-03-10,1.888841
1960-03-11,1.889077
1960-03-12,1.888959
1960-03-14,1.88943
1960-03-15,1.889312
1960-03-16,1.889548
1960-03-17,1.889666
1960-03-18,1.88943
1960-03-21,1.889548
1960-03-22,1.889548
1960-03-23,1.88943
1960-03-24,1.88943
1960-03-25,1.889666
1960-03-26,1.889902
1960-03-28,1.889902
1960-03-29,1.889784
1960-03-30,1.890273
1960-03-31,1.890509
1960-04-01,1.890137
1960-04-02,1.889784
1960-04-04,1.890373
1960-04-05,1.890491
1960-04-06,1.890373
1960-04-07,1.890727
1960-04-08,1.890845
1960-04-09,1.890963
1960-04-11,1.891081
1960-04-12,1.891435
1960-04-13,1.891553
1960-04-14,1.891789
1960-04-19,1.892025
1960-04-20,1.892025
1960-04-21,1.892144
1960-04-22,1.892262
1960-04-23,1.892262
1960-04-25,1.892025
1960-04-26,1.892144
1960-04-27,1.892025
1960-04-28,1.892025
1960-04-29,1.892144
1960-04-30,1.892144
1960-05-02,1.892262
1960-05-03,1.892262
1960-05-04,1.892498
1960-05-05,1.892262
1960-05-06,1.892498
1960-05-07,1.89238
1960-05-09,1.892498
1960-05-10,1.892498
1960-05-11,1.892616
1960-05-12,1.892616
1960-05-13,1.892616
1960-05-14,1.892616
1960-05-16,1.892616
1960-05-17,1.892616
1960-05-18,1.892262
1960-05-19,1.892616
1960-05-20,1.892734
1960-05-23,1.89238
1960-05-24,1.892144
1960-05-25,1.891907
1960-05-27,1.892025
1960-05-28,1.891671
1960-05-30,1.891553
1960-05-31,1.891671
1960-06-01,1.891671
1960-06-02,1.891789
1960-06-03,1.891907
1960-06-07,1.891317
1960-06-08,1.891081
1960-06-09,1.889784
1960-06-10,1.887547
1960-06-11,1.887195
1960-06-13,1.885785
1960-06-14,1.885903
1960-06-15,1.886607
1960-06-20,1.886372
1960-06-21,1.88649
1960-06-22,1.88696
1960-06-23,1.88696
1960-06-24,1.88696
1960-06-25,1.886372
1960-06-27,1.885433
1960-06-28,1.88473
1960-06-29,1.88473
1960-06-30,1.885082
1960-07-01,1.885199
1960-07-02,1.885082
1960-07-04,1.884613
1960-07-05,1.884144
1960-07-06,1.883676
1960-07-07,1.883676
1960-07-08,1.883793
1960-07-09,1.883793
1960-07-11,1.883324
1960-07-12,1.883324
1960-07-13,1.882739
1960-07-14,1.882856
1960-07-15,1.882622
1960-07-18,1.882038
1960-07-19,1.881687
1960-07-20,1.88087
1960-07-21,1.88052
1960-07-22,1.880403
1960-07-23,1.88052
1960-07-25,1.880053
1960-07-26,1.880053
1960-07-27,1.879748
1960-07-28,1.879515
1960-07-29,1.879165
1960-07-30,1.879004
1960-08-01,1.878654
1960-08-02,1.878189
1960-08-03,1.878305
1960-08-04,1.878072
1960-08-05,1.878189
1960-08-06,1.878072
1960-08-08,1.877374
1960-08-09,1.876676
1960-08-10,1.876444
1960-08-11,1.876212
1960-08-12,1.875631
1960-08-13,1.875631
1960-08-15,1.875399
1960-08-16,1.875399
1960-08-17,1.875515
1960-08-18,1.875747
1960-08-19,1.875631
1960-08-22,1.875515
1960-08-23,1.875283
