date,k1_variance,k1_lengthscale,k2_variance,k2_lengthscale,kC_likelihood_variance,kC_changepoint_location,kC_steepness
1990-01-02,0.7824588270574702,1.0839894831677869e-08,1.5469827494495993,0.6707388799532746,1.5132712587273465e-06,13.961593503256827,2.3929517677934933
1990-01-03,0.6643703969710992,1.3119825690908007e-14,2.275229959083628,0.8545483837747534,1.814301463021159e-06,17.002595457420245,96.57093949887532
1990-01-04,0.654952932420481,0.03738681319072692,1.9443539573626312,0.5428336215108975,5.662752113750908e-06,17.01126420448062,16.12160217759384
1990-01-05,0.6682221229307916,0.05120748160294497,1.7331490034322363,0.5833743792144994,1.7640491605424687e-06,17.002553536058144,57.760719072587044
1990-01-08,0.6348407045256343,2.9113584658416155e-45,1.6572858908056265,0.6062321504847019,3.3442481788059474e-06,17.001037489745634,302.75019569685463
1990-01-09,0.6250186055212742,0.012970973549160688,1.551952520929326,0.568176231547661,7.290603945780222e-06,17.00281826454619,108.97203532563107
1990-01-10,0.6991222003059296,0.36977401105810315,1.2887934663576301,0.5198169325170138,6.853264600861145e-06,13.966012799557202,1.3168278392950326
1990-01-11,0.7696744911279869,0.44406270760303934,1.2301487872662897,0.4900385338692428,1.3535659260632235e-06,13.96971295515371,1.0892203033854724
1990-01-12,0.8820504897499234,0.3995154804985309,1.1527886350452765,0.46765322083647637,1.4452885132537936e-06,13.662051827861426,1.0427359930507276
1990-01-15,0.776034886314674,0.4542011387610376,1.169814708531903,0.4835781275777771,1.1931668483932095e-06,17.004330994651262,28.390240253686713
1990-01-16,0.9526160264730403,0.4974354602772319,1.1006493250199676,2.4468381745545133e-10,3.7201196672193473e-06,21.006707461477205,101.83900639219071
1990-01-17,0.991557246472873,0.5132728188381386,1.0485143421804453,1.0503741320189048e-07,1.184200792709167e-06,24.00404113195838,68.68028877829062
1990-01-18,0.9189284708880547,0.46628249058078614,1.49998462612673,0.001954319760348709,1.0000000003741941e-06,30.02856880049438,16.172428936227945
1990-01-19,1.0567636154176796,0.4944663402195081,0.9669815305383027,6.849993808925485e-16,1.0159993209570856e-06,24.00121534293527,109.60299466094644
1990-01-22,1.2019418965800228,0.6586573570311334,0.8626818465012255,1.2393914278449121e-29,1.192985474525726e-05,22.803431701477635,242.14395153871396
1990-01-23,1.0152254512130594,0.49313552419927364,1.188156972304283,0.00014545389187330406,1.1831094030499022e-06,28.36152999408793,1.0205873054495052
1990-01-24,0.747521780335152,0.5089783170006393,1.5620629404483029,0.7096615743809205,3.136146942217275e-06,30.053267281542244,17.075379052415457
1990-01-25,0.9439302946642191,0.508576227484823,1.293201252906129,0.3756628963277766,1.5748574020222662e-06,28.459733524893636,0.7962965122757865
1990-01-26,0.8141608309909728,0.4185334565245261,1.2596969951584618,0.4255280459469646,9.999999974752442e-07,30.03133579486997,15.663130068609462
1990-01-29,0.1888181592128958,1.5427510617415514,0.8139690468806895,0.6177899078198514,0.527318281275367,30.09990447360466,17.10016581500843
1990-01-30,0.1698847391048233,1.5162938222642754,0.6966252475827615,0.6027614257394589,0.5681187524937932,30.09943422610573,16.612152616223437
1990-01-31,0.9128287705875746,0.0006028390448433072,1.2846477143066997,0.7239465623061028,1.3059596917107624e-06,33.548405459297925,1.64338389683033
1990-02-01,0.9650372839131125,5.985003106017979e-06,1.0717179261347352,0.7063599187234466,4.914325123116204e-06,32.940856738684396,15.330138149629011
1990-02-02,0.14497145968109626,3.385848633861138,0.7877825689467423,0.6182829908768592,0.4461514529845556,30.100900692269157,17.219500224616095
1990-02-05,0.11783675162560679,3.7299391551751366,0.3872900390260623,1.3981143318676832,0.7655383106056494,35.13051459959919,16.111081025821736
1990-02-06,0.9750516360355873,1.7771944041959365e-11,1.0464898901153998,0.6477262122760497,7.10605483164688e-06,32.9433853248423,24.933275939183627
1990-02-07,0.896328805936937,6.563203427887857e-07,1.0903187952550322,0.4288750059463119,8.02172953651151e-06,35.00528256821573,44.740921946229925
1990-02-08,1.050835217133137,0.3858813109008092,1.1309903591277206,0.011685614785202355,1.2101586236502966e-06,43.20681359444444,0.9357696562779242
1990-02-09,1.1236074965900502,0.41437466519722843,0.918502955880667,0.0046358696065392805,1.1010794962305332e-06,42.82452178789761,1.0357156832544252
1990-02-12,1.197133670784481,0.43285525657813534,0.8285124841078721,0.004621764779819929,1.0790361292603701e-06,42.62553943747343,1.040694494965155
1990-02-13,1.249764193985279,0.4114718747026888,0.8074005150703455,0.012070164555512347,1.2178916743011468e-06,42.470718002789084,1.0193844326798347
1990-02-14,1.322462656158748,0.48538338941650677,0.8072432701305329,0.002797529831887349,1.1289415980882886e-06,42.35721680613962,0.9194904192538085
1990-02-15,1.2385438048783064,0.6446067724983492,0.8820356018861271,0.0001502902103571981,1.1104802596750563e-06,42.78899555401029,1.1368986057249781
1990-02-16,1.2279765392688444,0.6801953967905575,0.9078012216593596,9.980531239307439e-05,1.075206272104437e-06,42.76846275290279,1.1318080019240597
1990-02-19,1.1803265517386945,0.6225074637941128,0.9901142890584406,0.01135417260707297,1.3008817443394543e-06,42.944593333321855,0.9872007928844297
1990-02-20,1.2441154385373898,0.5624248956189284,0.9778112401614818,0.0031822270388115613,1.0521726458520584e-06,42.814170749468786,0.9308882140286271
1990-02-21,1.4681573963684724,0.5791374050617076,0.9407206591901047,0.015329326088517536,1.0935511846598426e-06,42.45384540114245,0.7939343744379516
1990-02-22,1.111580839733866,0.09109200952845249,0.87856046067071,0.09100362827018367,1.3012889076016575e-06,48.99145652872741,27.536210201477438
